ta,tl,tg,ra,rl,rg2,v2l,v2g,bg,bl,rv1,rv2
0.699,1.203,2.3417,0.69157,1.08406,1.26321,1.56024,2.09317,0.24805,0.38701,6.7477,8.23766
0.7396,2.9605,1.9856,0.44017,0.97686,0.55085,0.78822,1.34725,0.41231,0.32499,8.51992,9.06867
0.6372,1.9713,0.3367,0.40731,1.08311,0.19841,0.73343,0.58983,0.43382,0.31817,6.7175,6.57764
0.8349,3.5882,1.7684,0.40561,0.84132,0.30311,0.65435,1.14609,0.47262,0.30926,9.62849,9.96471
0.9526,1.584,2.3789,0.52179,0.66707,0.50031,0.68908,1.2606,0.46251,0.31871,10.15416,11.33405
0.6614,2.2191,0.8224,0.46326,0.9453,0.39768,0.68996,1.05121,0.4399,0.30351,7.00316,6.88104
0.9615,4.3528,1.6544,0.3866,0.83615,0.2411,0.63256,1.01668,0.47784,0.30226,9.74865,10.26234
0.9188,4.1965,4.4888,0.55528,0.71892,0.62956,0.85288,1.84527,0.36964,0.31526,9.71064,11.02994
0.8369,1.6503,1.8844,0.63004,0.93694,0.83454,0.9597,1.38587,0.34245,0.32865,6.42343,7.13606
0.6552,4.1679,0.2142,0.34006,0.93563,0.07026,0.56282,0.30077,0.49515,0.27868,7.15553,6.27244
0.8376,3.5951,2.7717,0.46107,0.78337,0.47814,0.67773,1.31867,0.45033,0.3052,9.68828,10.85111
0.9437,3.485,0.2195,0.38242,0.98433,0.07024,0.65953,0.24551,0.47196,0.31127,7.31488,6.84402
0.771,2.7693,1.1491,0.43871,0.93535,0.32768,0.70295,1.02651,0.45161,0.31746,8.43343,7.97198
0.7189,3.4391,3.8036,0.61672,1.64485,0.6876,5.05938,1.92614,0.10293,0.52076,9.7181,11.4264
0.7,3.1234,1.285,0.51745,1.25792,0.65783,0.99644,1.21394,0.34036,0.33915,5.75532,6.16114
0.9896,1.0843,1.8942,0.60639,0.78682,0.63132,0.83085,1.16989,0.39195,0.32565,7.37535,8.26667
0.8042,2.4947,2.9286,0.54706,0.99508,0.82802,1.09738,1.69171,0.3225,0.3539,7.89637,9.70547
0.8831,4.0762,1.0491,0.36358,0.97994,0.239,0.68714,0.87507,0.449,0.30853,8.65191,8.45845
0.967,1.3344,1.1705,0.54542,0.87689,0.43803,0.83765,0.95317,0.39227,0.32858,7.59204,7.74944
0.6758,3.4825,2.9657,0.5262,1.50796,0.71765,2.18224,1.96247,0.22841,0.49845,8.05881,10.41321
0.9424,3.213,0.5306,0.405,1.01473,0.19136,0.64806,0.61964,0.48716,0.31571,7.38364,7.11205
0.8125,3.5003,4.331,0.63899,1.01168,0.70238,1.93893,1.86117,0.19917,0.38618,9.93581,11.5872
0.8537,1.3467,4.4901,0.81462,0.78483,1.46883,1.93665,2.35055,0.1768,0.34239,8.8757,10.82424
0.9966,2.3934,1.5625,0.4313,0.87306,0.32551,0.70327,0.98637,0.46956,0.33023,9.34978,9.25956
0.6812,1.783,2.9752,0.72248,1.25729,1.49699,2.42389,2.38172,0.1947,0.47193,7.14706,8.99573
0.9985,3.5028,3.494,0.49557,0.80963,0.54325,0.71073,1.35421,0.44499,0.31627,9.24827,10.18122
0.6361,1.7498,1.0209,0.58588,1.07837,0.68126,1.02879,1.23319,0.32586,0.33525,5.77307,6.2232
0.6915,2.9686,4.1897,0.66751,2.05701,1.14622,8.0,2.4168,0.03311,0.61986,8.23621,10.04473
0.9614,1.1358,4.1146,0.79895,0.50179,1.09081,0.766,1.96897,0.3791,0.2904,8.55111,10.47977
